node_1|node_2|edge|chunk_id|example
project|project circumstances|changes as they are being planned and executed|193b1f4ea2b44c88a87060d49dfa83ca|
circumstances change|amount of information about risks|will usually increase as time goes on|193b1f4ea2b44c88a87060d49dfa83ca|
amount of information about risks|risks|increases with the passage of time|193b1f4ea2b44c88a87060d49dfa83ca|
risks|new risks|will occur while others will not|193b1f4ea2b44c88a87060d49dfa83ca|
new risks|project risk management processes|arise or are discovered|193b1f4ea2b44c88a87060d49dfa83ca|
project risk management processes|characteristics of already identified risks|may change|193b1f4ea2b44c88a87060d49dfa83ca|
characteristics of already identified risks|project risk management processes|should be repeated and the corresponding plans progressively elaborated throughout the lifetime of the project|193b1f4ea2b44c88a87060d49dfa83ca|
project risk management remains effective|identification and analysis of risks|should be revisited periodically|193b1f4ea2b44c88a87060d49dfa83ca|
progress on risk response actions|project risk management|should be monitored and the action plans adjusted accordingly|193b1f4ea2b44c88a87060d49dfa83ca|
significant external circumstances change|risk management planning process|may also be necessary to revisit|193b1f4ea2b44c88a87060d49dfa83ca|
initial risk management plan and risk assessment|development of an initial risk management plan|is the start of the process not the end|193b1f4ea2b44c88a87060d49dfa83ca|
risk management planning process|initial risk management plan and risk assessment|is the start of|96f5b67a9e174f28954e4c7eb651073f|
risk management planning process|reviews and updates|includes|96f5b67a9e174f28954e4c7eb651073f|
reviews and updates|project nature|depends on|96f5b67a9e174f28954e4c7eb651073f|
reviews and updates|environment volatility|depends on|96f5b67a9e174f28954e4c7eb651073f|
reviews and updates|project management reviews and updates|is influenced by|96f5b67a9e174f28954e4c7eb651073f|
project risk management process|communication throughout the process|relies heavily on|75078065dd5f470fb3187dc07cfe07eb|
risk identification and analysis|comprehensive input from stakeholders in a project|depends on|75078065dd5f470fb3187dc07cfe07eb|
risk identification and analysis|nothing significant is overlooked|ensures that|75078065dd5f470fb3187dc07cfe07eb|
risk identification and analysis|risks are realistically assessed|ensures that|75078065dd5f470fb3187dc07cfe07eb|
project risk management process|credibility of the process|can be assured only if|75078065dd5f470fb3187dc07cfe07eb|
project risk management process|understanding and credibility by all concerned|demands|75078065dd5f470fb3187dc07cfe07eb|
project risk management process|effective and honest communication|requires|75078065dd5f470fb3187dc07cfe07eb|
communication of the results|project risk management process|should be targeted to meet the specific needs of|75078065dd5f470fb3187dc07cfe07eb|
project communications strategy|the overall project communications strategy|with each stakeholder's responsibility and role in risk management identified and|75078065dd5f470fb3187dc07cfe07eb|
project communications strategy|overall project|is part of|92c3c5910d914a3c8710bd79636c5305|
project communications strategy|stakeholder needs|should reflect|92c3c5910d914a3c8710bd79636c5305|
stakeholder needs|each stakeholder|belongs to|92c3c5910d914a3c8710bd79636c5305|
project communications strategy|stakeholder responsibilities and roles in risk management|includes|92c3c5910d914a3c8710bd79636c5305|
stakeholder responsibilities and roles in risk management|stakeholder responsibility|includes|92c3c5910d914a3c8710bd79636c5305|
stakeholder responsibilities and roles in risk management|stakeholder role in risk management|includes|92c3c5910d914a3c8710bd79636c5305|
stakeholder responsibilities and roles in risk management|risk management|related to|92c3c5910d914a3c8710bd79636c5305|
project risk management|all project processes|is included as an integral part of|fa41f49ce90d41908c13a5a2160a63b8|
project risks|project objectives|can affect|fa41f49ce90d41908c13a5a2160a63b8|
anyone with an interest in achieving project objectives|project risk management|should play a role in|fa41f49ce90d41908c13a5a2160a63b8|
roles and responsibilities for project risk management|project team members and other stakeholders|depend on the place within the project and their relation to project objectives|fa41f49ce90d41908c13a5a2160a63b8|
roles and responsibilities for project risk management|project team members and other stakeholders|should be clearly defined and communicated|fa41f49ce90d41908c13a5a2160a63b8|
individuals|roles and responsibilities for project risk management|should be held responsible and accountable for results|fa41f49ce90d41908c13a5a2160a63b8|
responsibility|specific activities within the risk process|includes allocating responsibility for|fa41f49ce90d41908c13a5a2160a63b8|
responsibility|resulting actions required to implement agreed upon responses|includes allocating responsibility for|fa41f49ce90d41908c13a5a2160a63b8|
risk process|allocating responsibility for specific activities|includes|243bb95a946c4d7ea9f5069e7fd350ab|
risk process|resulting actions required to implement agreed upon responses|includes|243bb95a946c4d7ea9f5069e7fd350ab|
responsibility|specific activities within the risk process|applies to|243bb95a946c4d7ea9f5069e7fd350ab|
responsibility|resulting actions required to implement agreed upon responses|applies to|243bb95a946c4d7ea9f5069e7fd350ab|
responsibility|risk related lessons|is responsible for capturing|243bb95a946c4d7ea9f5069e7fd350ab|
risk related lessons|future use|is used for|243bb95a946c4d7ea9f5069e7fd350ab|
project manager|successful project delivery|is responsible for|bac0945ee7194fc18c99d0ab6813f487|
project manager|defined project objectives|has overall responsibility for|bac0945ee7194fc18c99d0ab6813f487|
project manager|day-to-day management of the project|is accountable for|bac0945ee7194fc18c99d0ab6813f487|
project manager|effective risk management|is accountable for|bac0945ee7194fc18c99d0ab6813f487|
project manager|senior management support for project risk management activities|may include encouraging|bac0945ee7194fc18c99d0ab6813f487|
project manager|acceptable levels of risk for the project|determines in consultation with stakeholders|bac0945ee7194fc18c99d0ab6813f487|
project manager|risk management plan|develops and approves|bac0945ee7194fc18c99d0ab6813f487|
project manager|project risk management process|promotes|bac0945ee7194fc18c99d0ab6813f487|
project manager|open and honest communication about risk within the project team|facilitates|bac0945ee7194fc18c99d0ab6813f487|
project manager|management and other stakeholders|facilitates|bac0945ee7194fc18c99d0ab6813f487|
project manager|all aspects of the project risk management process|participates in|bac0945ee7194fc18c99d0ab6813f487|
project manager|risk responses and associated actions|approves prior to implementation|bac0945ee7194fc18c99d0ab6813f487|
project team|risk management process|participates in|5036d53d21dd452b86ef25982b3cc658|
management|risk management process|oversees|5036d53d21dd452b86ef25982b3cc658|
stakeholders|risk management process|provides input to|5036d53d21dd452b86ef25982b3cc658|
project team|risk responses|approves|5036d53d21dd452b86ef25982b3cc658|
project contingency funds|identified risks|applies to deal with|5036d53d21dd452b86ef25982b3cc658|
subcontractors and suppliers|risk management|overseen by|5036d53d21dd452b86ef25982b3cc658|
project team|key stakeholders|reports risk status to|5036d53d21dd452b86ef25982b3cc658|
project team|appropriate strategic decisions and actions|provides recommendations for|5036d53d21dd452b86ef25982b3cc658|
project team|senior management|escalates identified risks to|5036d53d21dd452b86ef25982b3cc658|
identified risks|senior management|escalated to|5036d53d21dd452b86ef25982b3cc658|
project team|project risk management process efficiency and effectiveness|monitors|5036d53d21dd452b86ef25982b3cc658|
risk responses|project risk management process efficiency and effectiveness|audited for effectiveness|5036d53d21dd452b86ef25982b3cc658|
risk responses|lessons learned|documented|5036d53d21dd452b86ef25982b3cc658|
chapter 3 introduction|risk management process|introduces|5036d53d21dd452b86ef25982b3cc658|
project risk management process|efficiency|is related to|73e10cae299242ab98495fa842f17067|
project risk management process|effectiveness|is related to|73e10cae299242ab98495fa842f17067|
project risk management process|auditing|is part of|73e10cae299242ab98495fa842f17067|
auditing|risk responses|is related to|73e10cae299242ab98495fa842f17067|
auditing|effectiveness|evaluates|73e10cae299242ab98495fa842f17067|
documenting lessons learned|risk responses|is related to|73e10cae299242ab98495fa842f17067|
chapter 3|project risk management processes|introduces|73e10cae299242ab98495fa842f17067|
project management|controlling uncertain environment|attempts to|93453ea344aa447c8fa779feecc88297|
project management|uncertainty inherent in all projects|deals with|93453ea344aa447c8fa779feecc88297|
structured and disciplined techniques|defining or controlling uncertainty|have a role in|93453ea344aa447c8fa779feecc88297|
project risk management|understanding assessing and managing uncertainty within projects|provides an approach for|93453ea344aa447c8fa779feecc88297|
project risk management|projects|forms an integral part of|93453ea344aa447c8fa779feecc88297|
effective project risk management|project success|is a critical success factor for|93453ea344aa447c8fa779feecc88297|
project management|effective project success|is a critical success factor for|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management|project success|is a critical success factor for|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management|project management|is an integral part of|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management|optional process|is not viewed as|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management|additional overhead task|is not performed as|4d2841ef8ad0492b833e9e6a592ccca5|
structured project risk management|other processes of project management|needs to have a clear interface with|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management outputs|estimating resource requirements|can impact|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management outputs|cost|can impact|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management outputs|duration|can impact|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management outputs|assessing the impact of proposed scope changes|can impact|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management outputs|planning or replanning the forward strategy of the project|can impact|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management outputs|allocating resources to tasks|can impact|4d2841ef8ad0492b833e9e6a592ccca5|
project risk management outputs|reporting progress to stakeholders|can impact|4d2841ef8ad0492b833e9e6a592ccca5|
allocating resources|project management process effectiveness|increases|dfd5196339b14bcfa1dd93ae477b6dbf|
reporting progress|project management process effectiveness|increases|dfd5196339b14bcfa1dd93ae477b6dbf|
clearly viewing risk|allocating resources|is necessary for|dfd5196339b14bcfa1dd93ae477b6dbf|
clearly viewing risk|reporting progress|is necessary for|dfd5196339b14bcfa1dd93ae477b6dbf|
project risk management process|properly allocating resources|improves|dfd5196339b14bcfa1dd93ae477b6dbf|
project risk management process|reporting progress|improves|dfd5196339b14bcfa1dd93ae477b6dbf|
project risk management|project management process effectiveness|enhances|dfd5196339b14bcfa1dd93ae477b6dbf|
effective project risk management|other project management processes|requires input from|dfd5196339b14bcfa1dd93ae477b6dbf|
work breakdown structure (wbs)|effective project risk management|is important prerequisite for|dfd5196339b14bcfa1dd93ae477b6dbf|
project schedule assumptions list|effective project risk management|is important prerequisite for|dfd5196339b14bcfa1dd93ae477b6dbf|
project risk management processes|defined steps of project risk management|describes|a603a2675af54f6e84df818e81d92432|
project risk management processes|understanding and managing risk on a project|provides a structured approach for|a603a2675af54f6e84df818e81d92432|
project risk management processes|effective project risk management|outlines the steps required for|a603a2675af54f6e84df818e81d92432|
project risk|uncertain event or condition|is|a603a2675af54f6e84df818e81d92432|
project risk|has a positive or negative effect on a project's objectives|if it occurs|a603a2675af54f6e84df818e81d92432|
risks|exist in relation to objectives|are|a603a2675af54f6e84df818e81d92432|
start of project risk management process|clearly define the objectives|is essential at|a603a2675af54f6e84df818e81d92432|
project risk management processes|varying degrees of risk|should be scalable to meet the|a603a2675af54f6e84df818e81d92432|
scalable elements of project risk management processes|available resources|include|a603a2675af54f6e84df818e81d92432|
scalable elements of project risk management processes|methodology and processes used|include|a603a2675af54f6e84df818e81d92432|
scalable elements of project risk management processes|tools and techniques used|include|a603a2675af54f6e84df818e81d92432|
scalable elements of project risk management processes|supporting infrastructure|include|a603a2675af54f6e84df818e81d92432|
project risk management processes|review and update|includes|a603a2675af54f6e84df818e81d92432|
project risk management process|scalable elements|includes|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|available resources|uses|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|methodology and processes used|utilizes|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|tools and techniques used|employs|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|supporting infrastructure|requires|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|review and update frequency|includes|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|reporting requirements|includes|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|clear understanding of risk thresholds|is necessary for|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|framework against which identified risks can be assessed|uses|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|initiation step|starts with|59b34d29acd243a0a58f195ddde7b32e|
initiation step|common understanding and agreement of the team and other stakeholders on the approach and parameters|ensures|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|scope and objectives of the project risk management process itself|defines|59b34d29acd243a0a58f195ddde7b32e|
project risk management process|scope and objectives of the project|is related to|8087f7d7452940348150536c28a46387|
project risk management activities|project risk management process|is part of|8087f7d7452940348150536c28a46387|
attention|project risk management activities|requires|8087f7d7452940348150536c28a46387|
resources|project risk management activities|requires|8087f7d7452940348150536c28a46387|
different projects|level of risk management application|warrants|8087f7d7452940348150536c28a46387|
define objectives|project risk management process|is necessary for|8087f7d7452940348150536c28a46387|
define project risk management process elements scaling|project risk management process|includes|8087f7d7452940348150536c28a46387|
define risk thresholds, tolerances and assessment framework|project risk management process|includes|8087f7d7452940348150536c28a46387|
documentation|outputs from initial step|is|8087f7d7452940348150536c28a46387|
communication|outputs from initial step|is|8087f7d7452940348150536c28a46387|
stakeholders|document for project risk management process understanding|ensures|8087f7d7452940348150536c28a46387|
senior level|document for project risk management process approval|is approved at|8087f7d7452940348150536c28a46387|
chapter 3 introduction to project risk management processes|project risk management scope and objectives agreed upon|is possible after|8087f7d7452940348150536c28a46387|
project risk management processes|project scope and objectives|is necessary for|395ae6e34d8d41ba8139eafd795b1d3f|
project risk management processes|risk identification|includes|395ae6e34d8d41ba8139eafd795b1d3f|
risk identification|genuine risks|distinguishes|395ae6e34d8d41ba8139eafd795b1d3f|
risk identification|non-risks|distinguishes|395ae6e34d8d41ba8139eafd795b1d3f|
risk identification techniques|project risk management processes|is part of|395ae6e34d8d41ba8139eafd795b1d3f|
risk identification techniques|specific project|is selected for|395ae6e34d8d41ba8139eafd795b1d3f|
project stakeholders|identifying risks|input is sought from|395ae6e34d8d41ba8139eafd795b1d3f|
project stakeholders|risk identification|affects|395ae6e34d8d41ba8139eafd795b1d3f|
project risk management processes|iterative process|is|395ae6e34d8d41ba8139eafd795b1d3f|
iterative process|identify risks process|repeats|395ae6e34d8d41ba8139eafd795b1d3f|
project risk management processes|emergent nature of risk|acknowledges|395ae6e34d8d41ba8139eafd795b1d3f|
risks|project stakeholders|input is sought from|d1ff8b5cc44744d99fb1378d29d4a03c|
risks|historical records|should also be reviewed to identify|d1ff8b5cc44744d99fb1378d29d4a03c|
risks|project documents|should also be reviewed to identify|d1ff8b5cc44744d99fb1378d29d4a03c|
risks|project stakeholders|each will have a different perspective on the risks facing|d1ff8b5cc44744d99fb1378d29d4a03c|
identified risks|risk owner|is designated for each identified risk|d1ff8b5cc44744d99fb1378d29d4a03c|
risk owner|managing the corresponding risk|is the responsibility of|d1ff8b5cc44744d99fb1378d29d4a03c|
identified risks|subsequent project risk management processes|are managed through all of|d1ff8b5cc44744d99fb1378d29d4a03c|
risks|evaluate the importance of each risk|in order to prioritize individual risks for further attention|d1ff8b5cc44744d99fb1378d29d4a03c|
risk evaluation|qualitative techniques|can be used to address individual risks|d1ff8b5cc44744d99fb1378d29d4a03c|
risk evaluation|quantitative techniques|can be used to consider the overall effect of risk on the project outcome|d1ff8b5cc44744d99fb1378d29d4a03c|
risk evaluation|both qualitative and quantitative techniques can be used in combination||d1ff8b5cc44744d99fb1378d29d4a03c|
qualitative techniques|individual risks|help to gain a better understanding of|27de6ab668ed4adb9e643d40545dc242|
qualitative techniques|range of characteristics|consider|27de6ab668ed4adb9e643d40545dc242|
qualitative techniques|project outcomes|affect the overall effect on|27de6ab668ed4adb9e643d40545dc242|
quantitative techniques|overall effect of risk on project outcome|consider|27de6ab668ed4adb9e643d40545dc242|
integrated approach|qualitative techniques quantitative techniques|should be adopted when both are used|27de6ab668ed4adb9e643d40545dc242|
qualitative techniques|outputs from assessments|documented and communicated to key project stakeholders|27de6ab668ed4adb9e643d40545dc242|
qualitative techniques outputs|basis for determining appropriate responses|form a basis for|27de6ab668ed4adb9e643d40545dc242|
quantitative techniques|key project stakeholders|provide insights to|27de6ab668ed4adb9e643d40545dc242|
qualitative assessments|key project stakeholders|communicated to|cdf6f85dd57e494798f78bfb2f893ade|
qualitative assessments|project outcomes|form a basis for determining appropriate responses|cdf6f85dd57e494798f78bfb2f893ade|
quantitative techniques|identified risks|provide insights into the combined effect on|cdf6f85dd57e494798f78bfb2f893ade|
quantitative techniques|project outcomes|indicate the degree of overall risk faced by the project|cdf6f85dd57e494798f78bfb2f893ade|
quantitative analysis results|appropriate responses|used to focus the development of|cdf6f85dd57e494798f78bfb2f893ade|
quantitative analysis results|contingency reserve levels|calculation of required|cdf6f85dd57e494798f78bfb2f893ade|
quantitative techniques|project risk management processes|may not be required for all projects to ensure effective management of|cdf6f85dd57e494798f78bfb2f893ade|
prioritized individual risks|project risk management processes|once prioritized and|cdf6f85dd57e494798f78bfb2f893ade|
project risk management processes|effective management of risk|is necessary for|8595f66768bb41d1a678723361ac8cce|
chapter 3 introduction to project risk management processes|project risk management processes|introduces|8595f66768bb41d1a678723361ac8cce|
individual risks|project risk exposure|is used to understand|8595f66768bb41d1a678723361ac8cce|
appropriate risk responses|prioritized individual risks|should be developed using|8595f66768bb41d1a678723361ac8cce|
iterative process|appropriate risk responses|continues until|8595f66768bb41d1a678723361ac8cce|
optimal set of responses|iterative process|is achieved by|8595f66768bb41d1a678723361ac8cce|
range of possible response strategies|appropriate strategy for each individual risk|exists for|8595f66768bb41d1a678723361ac8cce|
risk owner|suitable strategy for each individual risk|should be selected by|8595f66768bb41d1a678723361ac8cce|
risk owner|affordable cost effective and appropriate strategy|ensuring that the strategy is|8595f66768bb41d1a678723361ac8cce|
single strategy|several related risks|should be considered whenever possible|8595f66768bb41d1a678723361ac8cce|
risk owner|actions to implement the chosen strategy|is responsible for defining|8595f66768bb41d1a678723361ac8cce|
action owners|actions to implement the chosen strategy|actions may be delegated to|8595f66768bb41d1a678723361ac8cce|
risk owner|actions to implement the chosen strategy|should monitor actions to determine|8595f66768bb41d1a678723361ac8cce|
risk owner|defining actions|is responsible for|ad5a0dab83ce49838cf40472fc8ebf5c|
risk owner|choosing strategy|is responsible for|ad5a0dab83ce49838cf40472fc8ebf5c|
action owners|delegated actions|receives|ad5a0dab83ce49838cf40472fc8ebf5c|
risk owner|monitoring actions|is responsible for|ad5a0dab83ce49838cf40472fc8ebf5c|
risk owner|identifying secondary risks|determines the presence of|ad5a0dab83ce49838cf40472fc8ebf5c|
risk responses|implementation|results in|ad5a0dab83ce49838cf40472fc8ebf5c|
project risk|response strategies and actions|is subject to|ad5a0dab83ce49838cf40472fc8ebf5c|
project stakeholders|documented response strategies and actions|informed of|ad5a0dab83ce49838cf40472fc8ebf5c|
project plan|incorporated response strategies and actions|is amended with|ad5a0dab83ce49838cf40472fc8ebf5c|
agreed upon actions|implementation|is essential for changing risk exposure|ad5a0dab83ce49838cf40472fc8ebf5c|
project team|repeating project risk management process|responsible for|ad5a0dab83ce49838cf40472fc8ebf5c|
project team|reevaluating the status of previously identified risks|enables to identify emergent and secondary risks|ad5a0dab83ce49838cf40472fc8ebf5c|
project risk management process|repetition at regular intervals throughout the life of the project|is necessary for|ad5a0dab83ce49838cf40472fc8ebf5c|
project|project team|enables|94e0e3ad913346bcb583559c60769467|
previously identified risks|project|are related to|94e0e3ad913346bcb583559c60769467|
emergent and secondary risks|project|are related to|94e0e3ad913346bcb583559c60769467|
project risk management process|project|is a part of|94e0e3ad913346bcb583559c60769467|
plan risk management|project risk management process|is a step in|94e0e3ad913346bcb583559c60769467|
define the scope and objectives of the project risk management process|plan risk management|is a task in|94e0e3ad913346bcb583559c60769467|
integrate into wider project management|define the scope and objectives of the project risk management process|ensures|94e0e3ad913346bcb583559c60769467|
identify risks|project risk management process|is a step in|94e0e3ad913346bcb583559c60769467|
knowable risks|identify risks|are identified as|94e0e3ad913346bcb583559c60769467|
qualitative risk analysis|perform qualitative risk analysis|is a step in|94e0e3ad913346bcb583559c60769467|
key characteristics of individual risks|qualitative risk analysis|are evaluated by|94e0e3ad913346bcb583559c60769467|
prioritized for further action|qualitative risk analysis|enable the prioritization of|94e0e3ad913346bcb583559c60769467|
perform quantitative risk analysis|project risk management process|is a step in|94e0e3ad913346bcb583559c60769467|
evaluates the combined effect of risks on the overall project outcome|perform quantitative risk analysis|evaluates|94e0e3ad913346bcb583559c60769467|
plan risk responses|project risk management process|is a step in|94e0e3ad913346bcb583559c60769467|
appropriate response strategies and actions for each individual risk|plan risk responses|are determined by|94e0e3ad913346bcb583559c60769467|
overall|project risk management process|is related to|94e0e3ad913346bcb583559c60769467|
project risk management process|evaluate the combined effect of risks on the overall project outcome|is part of|f97ff7d5d5634d9896dcac3ac47083e8|
project risk management process|plan risk responses|is part of|f97ff7d5d5634d9896dcac3ac47083e8|
plan risk responses|determine appropriate response strategies and actions for each individual risk|includes|f97ff7d5d5634d9896dcac3ac47083e8|
plan risk responses|integrate them into a consolidated project management plan|includes|f97ff7d5d5634d9896dcac3ac47083e8|
project risk management process|monitor and control risks|is part of|f97ff7d5d5634d9896dcac3ac47083e8|
monitor and control risks|implement agreed upon actions|includes|f97ff7d5d5634d9896dcac3ac47083e8|
monitor and control risks|review changes in project risk exposure|includes|f97ff7d5d5634d9896dcac3ac47083e8|
monitor and control risks|identify additional risk management actions as required|includes|f97ff7d5d5634d9896dcac3ac47083e8|
monitor and control risks|assess the effectiveness of the project risk management process|includes|f97ff7d5d5634d9896dcac3ac47083e8|
chapter 3|project risk management process|discusses|f97ff7d5d5634d9896dcac3ac47083e8|
chapter 4|plan risk management|introduces|f97ff7d5d5634d9896dcac3ac47083e8|
risk management process|overall risk management strategy for the project|develops|19c470871db64bdda2f70a5437516308|
risk management process|decision on how the risk management processes will be executed|decides|19c470871db64bdda2f70a5437516308|
risk management process|integration with all other project management activities|integrates|19c470871db64bdda2f70a5437516308|
creation of a risk management plan|risk management processes|describes how to carry out|19c470871db64bdda2f70a5437516308|
risk management plan|other project management processes|fits in with|19c470871db64bdda2f70a5437516308|
project risk management|general project management|describes the relationships among|19c470871db64bdda2f70a5437516308|
risk management plan|early planning of the project|should be carried out early in|19c470871db64bdda2f70a5437516308|
risk management plan|overall project management plan|corresponding risk management activities integrated into|19c470871db64bdda2f70a5437516308|
project overall planning|risk management activities|integrated into|7b30112ac4ef407d9b0e223e12a20d1f|
risk management plan|overall project management plan|is part of|7b30112ac4ef407d9b0e223e12a20d1f|
risk management plan|project needs and stakeholders|adapts as the needs change|7b30112ac4ef407d9b0e223e12a20d1f|
project risk management processes|overall project management plan|forms an integral part of|7b30112ac4ef407d9b0e223e12a20d1f|
budget for risk management activities|project management plan|established in order to track, control and defend expenditures|7b30112ac4ef407d9b0e223e12a20d1f|
cost of treating risks|project budget|included appropriately|7b30112ac4ef407d9b0e223e12a20d1f|
risk management plan|project budget evaluation, allocation and management|describes how this part is evaluated, allocated and managed|7b30112ac4ef407d9b0e223e12a20d1f|
monitoring methods|risk management plan|define the methods to ensure appropriate tracking of expenditures|7b30112ac4ef407d9b0e223e12a20d1f|
conditions under which|||7b30112ac4ef407d9b0e223e12a20d1f|
risk management plan|monitoring methods|defines|db8a34b215f84238a0515500adf69704|
risk management plan|corresponding expenditures|tracks appropriately|db8a34b215f84238a0515500adf69704|
risk management plan|approved budget for risk management|can be modified under conditions defined in the plan|db8a34b215f84238a0515500adf69704|
project management|risk management activities|is a process of progressive elaboration|db8a34b215f84238a0515500adf69704|
risk management activities|project management plan|should be integrated into|db8a34b215f84238a0515500adf69704|
risk management|success criteria for project|has success criteria defined in Chapter 4 (Plan Risk Management Project Related Criteria)|db8a34b215f84238a0515500adf69704|
project risk management success criteria|stakeholders|must agree on|db8a34b215f84238a0515500adf69704|
project risk management|general project success|is necessary for|0b5b4e0d4af443bca4a779e13951464b|
chapter 4 plan risk management|project risk management|is part of|0b5b4e0d4af443bca4a779e13951464b|
project related criteria|chapter 4 plan risk management|presented by|0b5b4e0d4af443bca4a779e13951464b|
stakeholders|project related criteria|agree on an acceptable level of results for|0b5b4e0d4af443bca4a779e13951464b|
cost, time, scope|project related criteria|includes|0b5b4e0d4af443bca4a779e13951464b|
risk management plan|project definition documents|refers to|0b5b4e0d4af443bca4a779e13951464b|
stakeholders|risk management plan|should agree on|0b5b4e0d4af443bca4a779e13951464b|
project objectives|stakeholders|prioritized by|0b5b4e0d4af443bca4a779e13951464b|
process related criteria|project risk management|depends on|0b5b4e0d4af443bca4a779e13951464b|
factors for success in project risk management|process related criteria|includes|0b5b4e0d4af443bca4a779e13951464b|
level of uncertainty of the project|factors for success in project risk management|affects|0b5b4e0d4af443bca4a779e13951464b|
project risk management process|research project|applicable to|0b5b4e0d4af443bca4a779e13951464b|
unforeseen changes|project risk management process for a research project|requires addressing|0b5b4e0d4af443bca4a779e13951464b|
management process for a research project|project with a more predictable environment|differs from|1e24d975d77140ac918a6f9f330d87e8|
research project risk management process|project risk management process in a more predictable project|differs from|1e24d975d77140ac918a6f9f330d87e8|
success of research project risk management process|success of project risk management process in a more predictable project|may result in more variance from the baseline|1e24d975d77140ac918a6f9f330d87e8|
acceptable level of risk in a project|stakeholders|depends on|1e24d975d77140ac918a6f9f330d87e8|
risk attitudes of stakeholders|organization|may be influenced by|1e24d975d77140ac918a6f9f330d87e8|
risk attitudes of stakeholders|factors affecting risk attitudes|influenced by|1e24d975d77140ac918a6f9f330d87e8|
factors affecting risk attitudes|tolerance for uncertainty of stakeholders|includes|1e24d975d77140ac918a6f9f330d87e8|
factors affecting risk attitudes|relative importance to them of achieving or missing specific project objectives|includes|1e24d975d77140ac918a6f9f330d87e8|
output of analysis|setting thresholds and providing weighting factors|should then be taken into account for|1e24d975d77140ac918a6f9f330d87e8|
project risk management processes|specific project|is applied in|cda560eaa12c45b59960f18e41b2e175|
guidelines and rules for escalating risk information|management and stakeholders|should reflect|cda560eaa12c45b59960f18e41b2e175|
risk attitudes and expectations of stakeholders|guidelines and rules for escalating risk information|should reflect|cda560eaa12c45b59960f18e41b2e175|
project manager|stakeholders|should maintain effective communication with|cda560eaa12c45b59960f18e41b2e175|
project manager|project evolution|should become aware of any changes in order to adapt the risk management approach|cda560eaa12c45b59960f18e41b2e175|
stakeholders attitudes|project manager|should be aware of any changes in|cda560eaa12c45b59960f18e41b2e175|
terms used to describe risks|participants|should share a common understanding of|cda560eaa12c45b59960f18e41b2e175|
critical values and thresholds|tools|should be defined in a manner consistent with|cda560eaa12c45b59960f18e41b2e175|
scope of the project|critical values and thresholds|and the attitudes of Stakeholders|cda560eaa12c45b59960f18e41b2e175|
qualitative analysis|high impact medium probability|uses such terms as|cda560eaa12c45b59960f18e41b2e175|
high impact medium probability|qualitative analysis|should be defined|cda560eaa12c45b59960f18e41b2e175|
risk management plan|project scope|is consistent with|ae2c37d44d9d4d58bbe550c6ca06a6ad|
risk management plan|stakeholders' attitudes|takes into account|ae2c37d44d9d4d58bbe550c6ca06a6ad|
qualitative analysis|high impact or medium probability|uses terms defined objectively in the risk management plan|ae2c37d44d9d4d58bbe550c6ca06a6ad|
risk management plan|key numerical values for quantitative analysis and decision making|specifies|ae2c37d44d9d4d58bbe550c6ca06a6ad|
risk management planning|type and level of risk detail to be addressed|establishes|ae2c37d44d9d4d58bbe550c6ca06a6ad|
risk management plan|risk register template for recording risk related information|provides a template of|ae2c37d44d9d4d58bbe550c6ca06a6ad|
risk management plan|intensity of effort and frequency of project risk management processes application|indicates|ae2c37d44d9d4d58bbe550c6ca06a6ad|
project characteristics|intensity of effort and frequency of project risk management processes application|depends on|ae2c37d44d9d4d58bbe550c6ca06a6ad|
project risk management processes|correct and effective execution|requires|ae2c37d44d9d4d58bbe550c6ca06a6ad|
project team|project risk management processes|carries out|ae2c37d44d9d4d58bbe550c6ca06a6ad|
project risk management processes|project team and other stakeholders|needs to participate|6bfba2bd3e57484cabfa87a4a20c840e|
project risk management processes|criteria for determining success|needs to know|6bfba2bd3e57484cabfa87a4a20c840e|
project risk management processes|level of authority|needs to know|6bfba2bd3e57484cabfa87a4a20c840e|
project risk management processes|actions or decisions beyond this level|action to take relative to|6bfba2bd3e57484cabfa87a4a20c840e|
project risk management plan|project's risk management roles and responsibilities|specifies|6bfba2bd3e57484cabfa87a4a20c840e|
project risk management plan|senior management|defines the corresponding expectations for|6bfba2bd3e57484cabfa87a4a20c840e|
